timestamp,std
1658361600000,8.932355918148092e-06
1658361610000,1.9535420473130026e-06
1658361620000,1.1650496642737261e-06
1658361630000,3.826951208932812e-06
1658361640000,2.6400000000026403e-06
1658361650000,7.759821862256305e-06
1658361660000,5.390107089646289e-06
1658361670000,3.2583400751567833e-06
1658361680000,9.784852238705867e-06
1658361690000,3.638635653850066e-06
1658361700000,1.5860503004509621e-06
1658361710000,1.93237471060044e-06
1658361720000,1.1661903789702265e-06
1658361730000,1.8384266901637479e-06
1658361740000,9.95886857835507e-06
1658361750000,7.228383457606891e-06
1658361760000,7.2833796446183254e-06
1658361770000,1.801699435374264e-05
1658361780000,8.423775875463834e-06
1658361790000,5.166666666668029e-06
1658361800000,1.2699880867507789e-05
1658361810000,5.027394092174089e-06
1658361820000,5.902949411429661e-06
1658361830000,1.5260548933164162e-05
1658361840000,6.117944989272966e-06
1658361850000,5.3701619580583836e-06
1658361860000,5.467230233026906e-06
1658361870000,8.471021939770236e-06
1658361880000,1.3468499352161585e-05
1658361890000,3.7862742341479068e-06
1658361900000,1.0288798520731745e-06
1658361910000,1.113852088542759e-05
1658361920000,4.677997061743488e-06
1658361930000,1.581138830085771e-06
1658361940000,2.3684119151836983e-06
1658361950000,0.0
1658361960000,4.330127018926524e-07
1658361970000,1.403029249965066e-05
1658361980000,4.910129835348919e-06
1658361990000,6.743257645132077e-06
1658362000000,6.992927975223551e-06
1658362010000,3.0796712486851207e-06
1658362020000,5.415008222484229e-06
1658362030000,1.6841529595425124e-05
1658362040000,3.434818743107618e-06
1658362050000,1.0042971446571956e-05
1658362060000,1.0378448408025024e-05
1658362070000,1.061021398881186e-05
1658362080000,7.689302297508285e-06
1658362090000,1.6414063713896224e-06
1658362100000,1.1687151328396976e-05
1658362110000,3.7411949685102758e-06
1658362120000,2.4919623880003866e-06
1658362130000,1.65193489244382e-06
1658362140000,0.0
1658362150000,4.948624949310452e-06
1658362160000,3.211871059444942e-06
1658362170000,3.1815796359060518e-06
1658362180000,5.978612017263209e-07
1658362190000,4.103259033245552e-07
1658362200000,4.948168853220922e-06
1658362210000,7.48468121467737e-06
1658362220000,3.678851806924413e-06
1658362230000,4.103259033245552e-07
1658362240000,4.714045207915032e-07
1658362250000,2.1194798121288725e-06
1658362260000,8.204957625722069e-06
1658362270000,4.4221663871449556e-07
1658362280000,2.8418988174994976e-06
1658362290000,4.007645754028332e-06
1658362300000,1.2777531300011578e-06
1658362310000,1.9933221850258217e-06
1658362320000,4.716898869817416e-06
1658362330000,2.2360679774973136e-06
1658362340000,1.0629052460045967e-05
1658362350000,4.898979485571256e-07
1658362360000,1.093217659648548e-05
1658362370000,2.6087459737461576e-06
1658362380000,1.374772708488127e-06
1658362390000,5.263574395741142e-06
1658362400000,6.130434097372133e-06
1658362410000,4.898979485571256e-07
1658362420000,2.390457218671178e-06
1658362430000,3.370459909268726e-06
1658362440000,5.789952133343779e-06
1658362450000,5.000000000005e-07
1658362460000,9.970932811617513e-06
1658362470000,3.856946079203207e-07
1658362480000,3.4992710611223255e-07
1658362490000,5.756395979657976e-07
1658362500000,3.48550718412727e-06
1658362510000,1.3745084053599535e-06
1658362520000,2.2560682059684425e-06
1658362530000,1.2192974987817855e-06
1658362540000,4.2418250299618767e-07
1658362550000,1.707825127661641e-06
1658362560000,5.3932119088587905e-06
1658362570000,4.4536177141556864e-07
1658362580000,3.4027766439875417e-06
1658362590000,4.757429568025135e-07
1658362600000,1.393326244888555e-06
1658362610000,1.2919813436423038e-05
1658362620000,4.006510476743629e-06
1658362630000,3.1262185832676256e-06
1658362640000,8.99756701420586e-06
1658362650000,1.671405313429715e-05
1658362660000,1.7707169096982346e-05
1658362670000,6.665916537750111e-06
1658362680000,6.472180474546739e-06
1658362690000,1.1659817358365945e-05
1658362700000,2.2449944320666096e-06
1658362710000,4.62147429846234e-06
1658362720000,1.8977951147523676e-05
1658362730000,2.1401511426974985e-06
1658362740000,6.50178376378616e-06
1658362750000,2.7333266142523535e-06
1658362760000,4.517539514530774e-06
1658362770000,5.261744046722076e-06
1658362780000,9.588116227346065e-06
1658362790000,3.726779962503377e-07
1658362800000,4.7202349847776686e-06
1658362810000,1.2990381056779571e-06
1658362820000,6.701471646005861e-06
1658362830000,4.810456929213157e-07
1658362840000,1.3367805536112496e-06
1658362850000,4.422166387144955e-07
1658362860000,2.154065922855956e-06
1658362870000,4.330127018926524e-07
1658362880000,0.0
1658362890000,5.756395979657975e-07
1658362900000,0.0
1658362910000,7.072749197650335e-06
1658362920000,5.582093094314131e-06
1658362930000,5.128352561982409e-06
1658362940000,3.1501538673174285e-06
1658362950000,6.543882639532084e-06
1658362960000,1.1887906209668271e-06
1658362970000,6.315401611985028e-06
1658362980000,7.575985451119049e-06
1658362990000,8.330399483553225e-06
1658363000000,8.083605294434053e-06
1658363010000,3.608012122944708e-07
1658363020000,3.142696805276688e-07
1658363030000,7.071067811872546e-07
1658363040000,8.256714439372246e-06
1658363050000,8.55847533150232e-06
1658363060000,5.34299334218885e-06
1658363070000,4.133506087592295e-06
1658363080000,4.855132753032832e-06
1658363090000,8.034896190164005e-06
1658363100000,2.4605734633860443e-06
1658363110000,9.76200729304121e-06
1658363120000,4.615384615389231e-07
1658363130000,3.999999999948489e-07
1658363140000,3.4992710610737635e-07
1658363150000,7.480352843925633e-07
1658363160000,2.449489742778829e-06
1658363170000,5.108294681810939e-06
1658363180000,3.399346342351414e-07
1658363190000,6.308120761625239e-06
1658363200000,3.3071891388340456e-07
1658363210000,1.77548408891666e-06
1658363220000,3.0000000000030005e-07
1658363230000,5.000000000005e-07
1658363240000,5.000000000005e-07
1658363250000,7.192949353925821e-06
1658363260000,0.0
1658363270000,3.0890990727522773e-06
1658363280000,0.0
1658363290000,7.0553804540785656e-06
1658363300000,5.628084770983536e-06
1658363310000,1.019189291164481e-05
1658363320000,1.2059109275892476e-05
1658363330000,1.6201851746035855e-06
1658363340000,9.866841978925646e-06
1658363350000,8.294148504109646e-06
1658363360000,4.810456929213157e-07
1658363370000,3.6817870057258583e-06
1658363380000,0.0
1658363390000,6.627952328288405e-06
1658363400000,3.4292856398930802e-06
1658363410000,0.0
1658363420000,3.1976322601251942e-06
1658363430000,3.000000000003e-07
1658363440000,8.952711414239516e-06
1658363450000,1.7548980206876704e-06
1658363460000,7.961306425453593e-06
1658363470000,5.617462078602162e-06
1658363480000,4.330127018926524e-07
1658363490000,1.879880479522839e-06
1658363500000,0.0
1658363510000,1.2433864838002227e-05
1658363520000,4.960783708251069e-07
1658363530000,4.0000000000040005e-07
1658363540000,3.5668224265059905e-06
1658363550000,1.6239209074270466e-06
1658363560000,6.428395059309688e-06
1658363570000,3.000000000003e-07
1658363580000,4.374482217880301e-06
1658363590000,8.951726197804328e-06
1658363600000,5.609908589287218e-06
1658363610000,4.9022184806204656e-06
1658363620000,3.3071891388340456e-07
1658363630000,5.81184136053384e-06
1658363640000,1.5313890278341083e-05
1658363650000,5.139379645490232e-06
1658363660000,1.5518257844587254e-06
1658363670000,5.2275711377261626e-06
1658363680000,9.104771755287689e-06
1658363690000,1.8601941148875e-05
1658363700000,4.594493987372895e-06
1658363710000,2.6635314903346603e-06
1658363720000,8.652074805356643e-06
1658363730000,6.472043723108223e-06
1658363740000,2.6840420325798085e-06
1658363750000,4.930066485921278e-07
1658363760000,5.166516482310275e-06
1658363770000,1.551579840033823e-05
1658363780000,7.266664139307135e-06
1658363790000,8.819423009599472e-06
1658363800000,7.642069662954042e-06
1658363810000,3.1102201510112306e-06
1658363820000,6.01723363280107e-06
1658363830000,1.5923926292593035e-06
1658363840000,9.221634819966575e-06
1658363850000,8.280660356369283e-06
1658363860000,3.3071891388340456e-07
1658363870000,4.948716593058884e-07
1658363880000,2.5612496949726126e-06
1658363890000,4.046107625893708e-06
1658363900000,1.4183277869820054e-05
1658363910000,3.374285475350089e-06
1658363920000,4.714045207915031e-06
1658363930000,9.232980769193738e-06
1658363940000,1.495555545787925e-06
1658363950000,3.5846024884214862e-06
1658363960000,1.3674145257365522e-06
1658363970000,1.3327456387098421e-05
1658363980000,4.1573970964196483e-07
1658363990000,7.99999999995249e-07
1658364000000,3.822221212858986e-06
1658364010000,5.519885488168364e-06
1658364020000,0.0
1658364030000,9.454509775866762e-06
1658364040000,4.000000000004001e-07
1658364050000,9.205976319770192e-07
1658364060000,4.306680856529784e-06
1658364070000,2.7564100100043394e-06
1658364080000,1.569146972793545e-06
1658364090000,2.000000000002e-06
1658364100000,3.8612291966510185e-06
1658364110000,5.000000000005e-07
